# k1 k2
3.51725 0.00699839 
0.002105 0.0401767 
2.56762 -0.080204 
-0.0131159 3.37797 
-0.0219339 0.0265248 
2.04154 -0.0397757 
5.31612 -0.0214628 
-0.0836245 2.94646 
-0.0378317 0.0123878 
0.0755468 2.36561 
-0.0509353 -0.00049091 
0.0186721 2.99461 
-0.0657864 -0.00899203 
0.0119055 2.94653 
-0.0704278 -0.008759 
0.000297114 2.93065 
-0.0642901 -0.00189383 
0.00028925 2.89502 
-0.0511097 0.00711529 
0.0263615 2.9091 
-0.0358786 0.014669 
2.74103 0.0556704 
4.67771 0.0464024 
-0.0188709 0.0191396 
2.54441 -0.0328993 
0.0105681 3.18818 
-0.0004953 0.0229546 
2.59878 -0.0183484 
-0.0293986 2.85791 
0.0167183 0.0281271 
2.58187 -0.0597142 
-0.051206 2.9386 
0.0466833 0.0294571 
2.61609 -0.0448406 
-0.0302428 2.96491 
0.056933 0.0378708 
2.6767 0.0179982 
0.0147354 3.00491 
0.0399434 0.0514547 
2.68681 0.0442829 
0.0279325 3.01768 
0.0243259 0.0544436 
2.66392 0.0120346 
-0.00661506 2.99401 
0.00378338 0.0555662 
2.66568 -0.0248786 
-0.0280249 2.99375 
-0.0104041 0.0521239 
2.63007 -0.0124554 
-0.00944963 3.03471 
-0.0108201 0.0459604 
2.55235 0.0182788 
0.0298498 2.94895 
-0.00616334 0.0403611 
2.59981 0.0438006 
0.0398478 2.93567 
-0.00218063 0.0394768 
2.57156 0.00954831 
-0.00181375 2.94792 
0.000574878 0.0451847 
2.53077 -0.0504748 
-0.0347503 2.94424 
-0.00657462 0.051428 
2.54545 -0.0452501 
-0.0188156 2.96309 
-0.0200732 0.0548071 
2.58447 0.0196213 
0.0253773 2.991 
-0.0357808 0.052123 
2.57197 0.0446759 
0.0298044 2.98555 
-0.0456186 0.0429576 
2.53544 0.0137393 
-0.00188252 2.95198 
-0.0477345 0.0379472 
-0.000470784 1.61592 
2.96014 -0.0109422 
-0.0346611 0.00947246 
0.916818 0.0232166 
-0.0285704 0.00640546 
0.0155847 0.87846 
0.00510343 -0.00406717 
0.866404 -0.00398253 
0.0478956 -0.00952283 
0.863338 -0.0283775 
0.0832857 -0.00814209 
-0.0286128 0.857903 
0.0997378 -0.000878047 
0.0053139 0.864494 
0.0912103 0.00742244 
0.0542449 0.854997 
0.00839452 0.0744288 
0.854347 0.0465637 
0.00575735 0.0697492 
0.0071483 0.842983 
0.0080639 0.0688244 
0.857682 0.01282 
0.0175478 0.0678072 
0.000877845 0.856213 
0.0243991 0.0661506 
0.0156278 0.87431 
0.0178344 0.0625848 
0.880549 0.0317241 
0.00219018 0.0560572 
0.862874 -0.0113039 
-0.0183061 0.0453508 
-0.0252863 0.900879 
-0.0322044 0.0332497 
0.0211758 0.87628 
-0.0477622 0.0229019 
0.870765 0.0250294 
-0.0641602 0.0172813 
0.859234 0.010219 
-0.0681348 0.0174427 
0.857066 0.00689705 
-0.0631049 0.0206874 
0.00131718 0.856135 
-0.0512011 0.0228817 
0.0149134 0.85639 
-0.0379065 0.0218813 
0.865122 0.0415215 
-0.0211411 0.0188897 
0.838663 0.0104976 
-0.00354632 0.0182077 
-0.0394987 0.877914 
0.0276322 0.00783546 
-0.0391626 0.882595 
0.0524511 0.0133356 
-0.00994719 0.879378 
0.0590289 0.0180688 
0.0184977 0.871101 
0.0441002 0.0219545 
0.87035 0.00879131 
0.0161818 0.0310423 
0.875432 -0.0174189 
-0.0059108 0.0308114 
0.881727 -0.0174965 
-0.0194503 0.0298276 
